total_rooms,house_value
5612,66.9
7650,80.1
720,85.7
1501,73.4
1454,65.5
1387,74
2907,82.4
812,48.5
4789,58.4
1497,48.1
3741,86.5
1988,62
1291,48.6
2478,70.4
1448,45
2556,69.1
1678,94.9
44,25
1388,44
97,27.5
1491,44.4
796,59.2
350,50
644,71.3
1706,53.5
591,100
1602,71.1
1276,80.9
741,68.6
1458,74.3
1892,65.8
1263,67.5
1136,146.3
1087,113.8
583,95.8
1141,107.8
1234,40
1260,88.5
3414,91.2
541,102.8
1960,64
1523,84.7
2322,70.1
330,142.5
3631,88.4
2159,75.5
1995,43.3
1024,46.7
1402,63.7
2872,72.7
540,42.5
1109,53.4
1327,60.8
1615,58.6
1617,66.4
1879,67.5
1715,79.2
1190,63.1
2804,67.7
807,40
2578,62.2
1583,70.7
2231,60.3
1527,61.2
1459,69.4
1697,96
1513,60.6
2429,70.8
1712,60.4
2266,143
2565,80.8
1540,67.5
666,61
1004,59.6
565,53.6
2652,84.3
2164,107.2
1672,59.4
1311,63.9
1171,69.4
2372,62.5
1178,58.3
2511,70.8
1185,86.2
1568,76.2
1278,140.3
1365,62.3
1039,63.5
1207,61.1
1494,67.5
2276,93.8
1152,73.6
1534,97.2
1413,87.5
1161,71.7
805,96.3
1088,87.5
1687,64.4
2494,110.1
1608,90.8
2183,159.9
935,94.4
709,72.5
1629,83.2
1121,62
1009,61.2
1228,125
1564,55.2
348,87.5
749,50
1586,30
452,87.5
472,93.8
96,47.5
1660,68.9
3868,41
208,32.5
1210,62.8
459,67.5
1321,67.5
186,58.8
99,53.8
322,54.4
240,53.8
1945,54.3
245,51.3
1134,43.9
2985,66.4
1996,62.8
569,94.5
301,65.6
290,81.3
1202,66.9
10377,66.8
381,76.1
9444,65.6
1273,84.7
2421,100
3298,47.8
3312,82.6
197,112.5
1711,65.4
1230,61.4
3585,65.9
639,47.5
1713,58.6
89,155
2888,66.7
1859,67.5
2399,60.6
1152,96.3
1608,61.8
894,68.2
2488,68.9
3114,82.2
584,100
1596,100.9
1372,32.9
1175,42.5
4120,69.4
